,0,1,2,3
0,Dep. Variable:,lifeExp_within,  R-squared:         ,   0.419
1,Model:,OLS,  Adj. R-squared:    ,   0.419
2,Method:,Least Squares,  F-statistic:       ,   1228.
3,Date:,"Mon, 20 Mar 2023",  Prob (F-statistic):,5.06e-203
4,Time:,18:22:48,  Log-Likelihood:    , -5740.0
5,No. Observations:,  1704,  AIC:               ,1.148e+04
6,Df Residuals:,  1702,  BIC:               ,1.149e+04
7,Df Model:,     1,                     , 
8,Covariance Type:,nonrobust,                     , 
