,0,1,2,3,4,5,6
0,,coef,std err,t,P>|t|,[0.025,0.975]
1,Intercept,-1.137e-06,    0.170,-6.68e-06, 1.000,   -0.334,    0.334
2,logGDPpercap_within,    6.4220,    0.183,   35.044, 0.000,    6.063,    6.781
