,0,1,2,3
0,Dep. Variable:,lifeexp,  R-squared:         ,   0.798
1,Model:,OLS,  Adj. R-squared:    ,   0.797
2,Method:,Least Squares,  F-statistic:       ,   1119.
3,Date:,"Mon, 20 Mar 2023",  Prob (F-statistic):,  0.00
4,Time:,18:23:09,  Log-Likelihood:    , -5413.6
5,No. Observations:,  1704,  AIC:               ,1.084e+04
6,Df Residuals:,  1697,  BIC:               ,1.088e+04
7,Df Model:,     6,                     , 
8,Covariance Type:,nonrobust,                     , 
