,0,1,2,3
0,Dep. Variable:,lifeExp_within,  R-squared:         ,   0.386
1,Model:,OLS,  Adj. R-squared:    ,   0.385
2,Method:,Least Squares,  F-statistic:       ,   1069.
3,Date:,"Mon, 20 Mar 2023",  Prob (F-statistic):,2.26e-182
4,Time:,18:23:48,  Log-Likelihood:    , -5336.7
5,No. Observations:,  1704,  AIC:               ,1.068e+04
6,Df Residuals:,  1702,  BIC:               ,1.069e+04
7,Df Model:,     1,                     , 
8,Covariance Type:,nonrobust,                     , 
