,0,1,2,3
0,Omnibus:,60.180,  Durbin-Watson:     ,   0.323
1,Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  , 102.402
2,Skew:,-0.289,  Prob(JB):          ,5.80e-23
3,Kurtosis:, 4.052,  Cond. No.          ,    1.15
