,0,1,2,3,4,5,6
0,,coef,std err,t,P>|t|,[0.025,0.975]
1,Intercept, -465.8696,   16.674,  -27.939, 0.000, -498.574, -433.165
2,continent[T.Americas],    8.9259,    0.463,   19.280, 0.000,    8.018,    9.834
3,continent[T.Asia],    7.0629,    0.396,   17.840, 0.000,    6.286,    7.839
4,continent[T.Europe],   12.5078,    0.510,   24.541, 0.000,   11.508,   13.507
5,continent[T.Oceania],   12.7507,    1.275,   10.002, 0.000,   10.250,   15.251
6,logGDPpercap,    5.0238,    0.159,   31.503, 0.000,    4.711,    5.337
7,year,    0.2416,    0.009,   28.142, 0.000,    0.225,    0.258
